Restaurant Name,Original food Item
Harris Teeter,Trail Mix Cajun Style Colby Jack Cheese Tropical Trail Mix Organic White Corn Tortilla Chips Rigatoni 100 Durum Semolina Pasta Mayonnaise Shredded Double Cheddar Cheese Broccoli Florets Lite Sour Cream Chefs Recipe Wild Mushroom Bisque Chocolate Chip Cookie Dough Low Fat Frozen Yogurt Old Fashioned Oats Baby Carrots Seedless Raisins Lite Butter Syrup Mixed Berry Snack Pepperoni Sliced Peaches Extra Sharp Cheddar Cheese Cinnamon Raisin Artisan Bread Instant BoilInBag White Rice Reduced Sodium Fat Free Chicken Broth Cherry Pie Filling Topping Fat Free Sour Cream Popcorn Chicken Dark Red Kidney Beans Low Fat 1 Cottage Cheese 100 Calorie Packs Lite Bites Chocolate Wafers Peach Pie Filling Topping Lowfat Chocolate Milk Grade A Half and Half vanilla Iced Coffee Chopped Onions Mixed Nuts
Wild Oats Marketplace,Organic Lentils Organic Diced Butternut Squash 2 Milk Fat Reduced Fat Milk UltraPasteurized Margherita Pizza Mac Cheese with Chicken Sweet Peas Whole Kernel Corn Chocolate Chip Chewy Granola Bars Mushroom Pasta Sauce Organic Mild Salsa Crunchy Peanut Butter Honey Nut Toasted Oats Cereal Crunchy Natural Peanut Butter Mung Beans Brown Flaxseed Brown Rice Blend Organic Spaghetti Crunchy Oats Honey Organic Granola Bars Organic Roasted Garlic Pasta Sauce Hot Salsa Tomato Basil Soup Frosted Corn Flakes Cereal Diced Sweet Potatoes Organic Parmesan Romano Pasta Sauce Quinoa Brown Rice Blend Organic Chicken Pot Pie Soup Organic Diced Tomatoes Traditional Mozzarella Cheese Apples Cinnamon Instant Oatmeal Oats Grains Apple Honey Cereal Garlic Olive Oil Organic Couscous Superfood Baked Bar Cheeseburger Skillet Dinner Organic Graham Teddy Bears Spaghetti Beetballs Pitted Dark Sweet Cherries Ground Flax Seed Tomato Basil Pasta Sauce Vanilla Almondmilk Baby Spinach Pearled Farro Cheesy Tuna Skillet Dinner Honey Mustard Dressing Red Quinoa in Sauce Chili Beans Rosemary Olive Oil Brown Rice Quinoa
Vocelli Pizza,Large Thin Crust Garlic Spinaci Pizza White Slice Chicken Florentine Sub on Italian Turkey Bacon Cheddar Sub on Italian Cannoli Chicken Pesto Pasta with Penne Single Chicken Parmesan Sub on Wheat Large Meat Magnifico Pizza Slice Medium Meat Magnifico Pizza Slice Medium Chicken Carbonara Pizza Slice Large Thin Crust Hawaiian Pizza Slice Pasta Diablo with Penne Party Vocelli Rolls Pepperoni Meatball Marinara Pasta with Linguini Family Chicken Pesto Pasta with Linguini Family Chocolate Cake Party Tray Medium Quattro Cheese Pizza Slice Large Thin Crust Spring Veggie Pizza Slice BoneIn Wings Mango Habanero Party Tray Chicken Alfredo Pasta with Penne Party Cauliflower Crust Quattro Cheese Pizza Slice Pasta Diablo with Penne Single Chicken Caesar Salad Side Chicken Parmesan Pasta with Linguini Family Meatball Sub on Italian Breadsticks Party Tray Small Chicken Carbonara Pizza Slice Meatball Marinara Pasta with Linguini Party Tuscan Grilled Chicken Salad Family Medium Chicken Pesto Pizza Slice Medium Garlic Spinaci Pizza White Slice Medium Original Buffalo Chicken Pizza Slice Large Garlic Spinaci Pizza White Slice Medium Spring Veggie Pizza Slice Small Original Buffalo Chicken Pizza Slice Italiano Sub on Ciabatta Chicken Parmesan Pasta with Linguini Party Steak Sub on Wheat Chocolate Chip Cookie Boneless Wings Hot Vesuvius Buffalo Party Tray Tuscan Grilled Chicken Salad Regular Tuscan Grilled Chicken Salad Side Cauliflower Crust MacNCheese Pizza Slice Meatball Marinara Pasta with Penne Family Cauliflower Crust BBQ Chicken Pizza Slice BoneIn Wings Garlic Romano Medium Deluxe Pizza Slice BoneIn Wings Hot Vesuvius Buffalo Chicken Sub on Wheat
Just Fresh,Cajun Chicken Pasta Strawberry Banana Bomb Smoothies Chef Pasta Small Kale Yeah Salad Bowl Grits The Green Smoothie Smoothies Cup Oatmeal Western Omelet The Chef Salad Small Mandarin Salad Fiesta Fresco Quesadillas Santa Fe Chicken English Muffin Includes Butter and Syrup Pancakes Small Red White Blue Salad Cranberry Orange Muffin Fresh Start Wrap Kale Yeah Salad Raspberry Fields Salad Cheese Kids Quesadilla Huevos Wrap Ham and Swiss Mini Sandwich Small Caesar Salad
Mike's Restaurants,SouthWest Dip 2 Eggs Any Style Regular Serving Spaghettini Bolognese 12 Piece Chicken Wings Meal House Salad without Dressing Moderate Serving Seafood Linguini French Toast with Maple Syrup 2 Eggs Three Meats Countryside Platter Kids ChocolateBanana Smoothie 1 Egg Any Style with Ham Large Delivery Serving Philly Steak SaintRaymond Poutine International 6Inch Traditional Pizza Large Orange Juice AllDressed Pizza Caesar Salad Kids Caesar Salad 2 Eggs Any Style with Cretons Neapolitan 6Inch Traditional Pizza Ham Sausages International Breakfast with Bacon Field of Dreams 12Inch Thin Crust Pizza Large Delivery Serving Superstar Poutine Kids Mini ChocoFruits French Toast Cretons Baked Beans International Breakfast with Bacon Pepperoni 9Inch Thin Crust Pizza Blackberry Jam Seafood 9Inch Traditional Pizza Kids Brownies Skewer Carnivore 12Inch Stuffed Crust Pizza Neapolitan 12Inch Traditional Pizza Add Extra Chicken Breast Pasta Seafood 6Inch Traditional Pizza 1 Egg Garden Countryside Platter Sausages Cretons International Breakfast with Bacon Vegetarian 12Inch Thin Crust Pizza Kids Shirley Temple Kids Young Traditionalist Feast with Sausages Large Apple Juice
Ameci Pizza & Pasta,Large Ameci Deluxe Pizza Chicken Caesar Salad Chef Salad Chicken Ranch Submarine Jumbo School Whole Wheat Pizza Garlic Bread Side Order Sausage Links Meat Ravioli Lasagna Caesar Salad Large Garlic Chicken Alfredo Pizza Rigatoni With Meatballs Sausage And Peppers Submarine Large Vegetarian Pizza Antipasto Salad Manicotti Large Chicken Ranch Pizza Jumbo Pepperoni Pizza Ravioli Cheese Ameci Mozzarella Sticks Spaghetti Meat Sauce Calzone Filling Spicy Wings Whole Wheat Jumbo Dough Ball Fettuccine Alfredo Tuna Submarine Sausage And Green Pepper Submarine Classic Dinner Salad
Safeway Select,Dry Roasted With Sea Salt Macadamia Nuts Iced Coffee Latte Original Fig Bars Lemon Madeleines Cheese Bacon Stuffed Potatoes Vegetable Fried Rice Winter Wonderland Trail Mix French Vanilla Cappuccino Apple Fig Appetizers Brie Bites Four Cheese Pizza Milk Chocolate Hot Cocoa Salted Caramel Pretzel Ice Cream Vanilla Ice Cream White Cake Ice Cream Cake BuffaloStyle Chicken Strips Mushroom and Onion Pasta Sauce Sweet Spicy Chicken Rub Island Teriyaki Marinade Oatmeal Raisin Cookies San Francisco Style Baguette Sourdough Bread Tomato Basil Pasta Sauce Cookies Cream Ice Cream Cake BBQ Recipe Chicken Ultra Thin Crust Pizza Soy Orange Citrus Sauce Ultimate Supreme Pepperoni and Italian Sausage Pizzeria Crust Pizza Roasted with Sea Salt Whole Cashews Chicken Vegetable Spring Rolls Vodka Pasta Sauce Caramelized Onion Gorgonzola Pastry Puffs Pipe Rigate Pasta with Balsamic Vinegar of Modena Glaze Poppy Seed Caramelized Onion Dressing Rose Vinegar Original Crackers
Purebread Deli,Hot Cherry Peppers Lobster Bisque Bacon Honey Mustard Dressing Large Coffee Decaf Small Sierra Mist Caesar Dressing Chocolate Chip Cookie Large Mug Root Beer Blue Cheese Dressing MultiGrain Bagel Jelly Small Chai Latte House Vinaigrette Pickles Plain Bagel Bagel And Lox English Muffin Ranch Dressing Add Bacon to Breakfast Sandwich Small Dr Pepper Cheese Danish Southwest Corn Chowder Large Mountain Dew Yogurt Berry Parfait Roast Beef Small Mountain Dew Ham Blueberry Muffin French Baguette Thousand Island Dressing Fruit Cup Golden Retriever Sandwich Balsamic Vinaigrette Cheddar Cheese Caesar Salad
Jack Astor's Bar & Grill,Buddha Salad AddOn Mild Buffalo Sauce Chicken Wings Pad Thai Noodle Bowl My Cookie Ate Your Brownie Steak Frites Top Sirloin Steaks Bacon Cheeseburger Chicken Parmigiana Sandwich 2 lb Jacks Chicken Wings Twice Baked Potato AddOn Honey Garlic Sauce Chicken Wings Worlds Most Ridiculously Small Brownie Beer Cheddar Soup Featured Soup AddOn Vanilla Ice Cream AddOn New Improved Chicken Parmigiana Truffle Fries AddOn Hot Buffalo Sauce Chicken Wings Roasted Garlic Pomodoro Pasta Mild Buffalo Sauce Fiesta Salad Medium Buffalo Sauce 1 lb Jacks Chicken Wings Mexican Chicken Bowl
Uncle Ben's,Chicken Medley Ready Whole Grain Medley Pouch Mushroom Risotto Roasted Garlic Ready Whole Grain Medley Pouch Wholegrain Wild Rice Gains Instant Rice Wholegrain Brown Rice Sweet and Sour Rice Sauce Original Long Grain Wild Rice Chicken Flavor Wild Fast Fancy Vite Bon Country Inn Chicken Vegetable Rice Fast Fancy Chinese Fried Rice Bistro Express Wholegrain Brown Rice Pilaf Country Inn Enriched Long Grain Rice Instant Rice Pinto Beans Rice Ready Rice Pouch Brown Basmati Chicken Wild Rice Garden Vegetable Ready Rice Bistro Express Rice with Roasted Garlic Flavor Basmati Rice Roasted Red Pepper Brown Rice Quinoa Roasted Chicken Ready Rice Rice Pilaf RIce Pilaf with Orzo Pasta Ready Rice Long Grain Wild Rice Original Ready Rice Pouch
Pampa,Traditional Spaghetti Sauce Herring Fillets in Mustard Sauce Herring Fillet Kipper Snacks Fire Roasted Sweet Red Peppers Grilled Marinated Asparagus Spears Chunk Light Tuna Mixed Fruit Instant Coffee with Spices Garlic Beef Instant Bouillon Flavor Cubes Cream Cheese Frosting in Brine Sardines Mackerel Fillets Fruity Wheels Nacho Sliced Jalapeno Peppers Smoked Clams in Oil Plantain Chips Lightly Smoked Herring Fillets in Oil Creamy Peanut Butter Garlic in Brine Wide Egg Noodles Squid Pieces in Ink Sauce Sour Cream Onion Toasted Mini Crackers Whole Grain Brown Rice Honey Rings Cereal Long Grain White Rice Mushrooms Pieces Stems Sweet Sour Red Cabbage with Apple Light Italian Dressing
Fresh Gourmet,Parmesan Caesar Croutons Lightly Salted Crispy Jalapenos Lightly Salted Tortilla Strips Organic Caesar Croutons Dried Blueberries Cranberries Santa Fe Style Tortilla Strips Dried Cranberries Glazed Walnuts Ranch Sliced Almonds Organic Croutons Seasoned Crispy Jalapenos Seasoned Organic Croutons Dried Cranberries Tortilla Strips Lightly Salted
Planet Smoothie,32 oz Planet Pro Veg 32G Strawberry Acai Smoothie 22 oz Lunar Lemonade Strawberry Smoothie 22 oz Planet Pro Lite Strawberry Acai Smoothie 32 oz Planet Pro Lite Strawberry Acai Smoothie 44 oz Chocolate Chimp Smoothie 16 oz Big Bang Smoothie 32 oz Planet Pro Veg 32G Cocoa Banana Smoothie 44 oz Planet Pro Cocoa Banana Smoothie 16 oz The Last Mango Smoothie 44 oz Lean Green Extreme Smoothie 22 oz Planet Pro Lite Cocoa Banana Smoothie 32 oz Planet Pro Lite Cocoa Banana Smoothie 16 oz Berry BadaBing Smoothie Kids Plain Jane Smoothie Kids Strawberry Shortcake Smoothie 16 oz Twig Berries Smoothie 16 oz Mr Mongo Cocoa Smoothie 32 oz Road Runner Smoothie 32 oz Planet Pro Veg 21G Cocoa Banana Smoothie 16 oz Captain Kid Smoothie 32 oz Planet Pro Veg 32G Strawberry Banana Smoothie 32 oz Captain Kid Smoothie 22 oz Twig Berries Smoothie 16 oz Werewolf Smoothie 22 oz Mr Mongo Strawberry Smoothie 32 oz Mr Mongo Strawberry Smoothie 32 oz 2 Piece Bikini Cocoa Smoothie 22 oz Billy Bob Banana Smoothie 32 oz Acai Original Smoothie
Firehouse Subs,Jamaican Jerk Turkey Large Jamaican Jerk Turkey Small Spicy Cajun Chicken Small Chili Meatball Medium contains gluten Oven Baked Lays BBQ Kids Turkey Sub Turkey Bacon Ranch Medium Cajun Chicken Medium Boxed Lunch Veggie Sweet Spicy Meatball Small Roast Beef Medium Hero Small Catering Salad Chopped Boxed Lunch Corned Beef Sweet Spicy Meatball Large Oven Baked Lays Regular Boxed Lunch Roast Beef Club on a Sub Small Firehouse Chopped Salad with Turkey 10 oz Chicken Noodle Soup Turkey Bacon Ranch Large Catering Salad Chopped Deluxe Turkey 6 oz Loaded Potato Soup Boxed Lunch Ham Rice Krispies Treat Smokehouse Beef Cheddar Brisket Large 10 oz Chicken Dumpling Soup Turkey Bacon Ranch Small Pickle Spear
Merci,European Chocolates Assortment Assorted Chocolates Dark Chocolate72 Chocolates Hazelnut Almonds Chocolate Assortment of European Chocolates
Kirkwood,Chicken Breast Nuggets Chicken Breast Tenderloins Caribbean Jerk Chicken Honey BBQ Chicken Wings Chipotle Peppers Turkey with Monterey Jack Cordon Bleu Turkey Bacon Roasted Pepper Lime Seasoned Chicken Breast Portions Parmesan Chicken Tenders Chicken Breast Tenderloin Chicken Tenderloins Fritter Style Chicken Breast Tenderloin Raw Stuffed Broccoli Cheese Chicken Rings Chicken Breasts Asparagus Cheddar Cheese Stuffed Chicken Breasts Apple Chicken Sausage
Mcmenamins,Marias Masterpiece with HerbRoasted Turkey Turkey Sandwich with HerbRoasted Turkey Cheeseburger Marias Masterpiece with OvenRoasted Turkey Bacon Cheeseburger Turkey Sandwich with OvenRoasted Turkey Hamburger Wilburs Jumbo Deluxe Burger
Boneheads,Lemon Herb Wings Medium Wings Medium Piri Rice Ranch Dressing Hot Piri House LemonHerb Chicken Salad LemHerb Skinless Piri Hot Skinless Piri Grilled MahiMahi Oatmeal Raisin Cookies Boneheads Piri Shrimp Hot Boneless Breast Chicken Chicken Breast Shrimp Taco House Shrimp Salad Greek Hot Chicken Salad Med Skinless Piri LemonHerb Boneless Breast Chicken Tilapia Fish Nuggets Classic Med Chicken Caesar Salad Cocktail Sauce House Portabella Salad EXHot Piri ExHot Chicken Breast Sandwich Chicken Tenders Grilled Tilapia House Hot Chicken Salad LemonHerb Piri Thai Chili Calamari Classic Portabella Caesar Salad Asian Slaw Piri Shrimp Blue Cheese Dressing Wings Lemon Herb Chicken Breast Sandwich Classic LemonHerb Chicken Caesar Salad Peel and Eat Shrimp Greek LemonHerb Chicken Salad Greek Dressing Med Boneless Breast Chicken Medium Chicken Breast Sandwich Asian Slaw Wings Chocolate Chunk Cookies Classic Fish Caesar Salad
Good Times Burgers & Frozen Custard,Medium Chocolate Peanut Butter Crunch Spoonbender Medium Caramel Toffee Spoonbender Mac Cheese with Green Chile Southwestern Black Bean Burger Large Oregon Blackberry Shake Small Vanilla Shake Natural Cut Kids Fries Small Oregon Blackberry Shake Large Vanilla Shake Large Caramel Toffee Spoonbender Breakfast Sandwich with Bacon Cheddar Classic Double Cheeseburger Wild Dippin Sauce Medium Diet Dr Pepper Large Diet Dr Pepper Single Waffle Cone Chocolate Chocolate Chip Frozen Custard Small Dr Pepper Small Sierra Mist Large Lemonade Buffalo Crispy Chicken Sandwich Deluxe Cheeseburger Large Dr Pepper Large Rootbeer Large Sierra Mist Kids Mac Cheese Single Cup Vanilla Frozen Custard Large Mountain Dew Large Strawberry Lemonade Small Cookies N Cream Spoonbender Large Strawberry Cheesecake Spoonbender Breakfast Burrito with Chorizo Fried Pickles Bacon Cheeseburger Single Waffle Cone Oregon Blackberry Frozen Custard
Mimi's Cafe,West Coast Reuben with Side of French Fries Sandwiches Iced Mocha with Hazelnut Mocha Latte with Sugar Free Vanilla French Dip with Side House Salad Sandwiches Iced Mocha with White Peach Flavor Berry Griddlecakes with Hickory Smoked Ham Just Baked All Butter Croissant Red Wine Shallot Vinaigrette Iced Mocha with Orange Flavor Hickory Bacon Cheddar Burger Roasted Chicken Croque Monsieur Sandwiches Mocha Latte Cappuccino with Vanilla Cranberry and Walnut Salad with Chicken with Grilled Shrimp Espresso with Sugar Free Vanilla Bowl Corn Chowder Turkey Sausage and Eggs Buttermilk Griddlecakes with Pork Sausage Thousand Island Dressing Roasted Half Chicken with Add a Shrimp Skewer Brioche French Toast with Eggs Any Style Cinnamon Roll French Toast with Turkey Sausage Beer Battered Fish and Fries Chicken and Quinoa Mediterranean Salad Kids Kraft Mac and Cheese with Long Grain Rice Hickory Smoked Ham and Swiss Crepes with Roasted Potatoes Kids Soup and Salad Combination with Ranch Dressing Cafe au Lait with Hazelnut Malted Waffles with Smoked Bacon Malted Waffles with Hickory Smoked Bacon French Creole Entree with Pasta Malted Waffles with Pork Sausage Hickory Smoked Ham and Eggs Mixed Berries Breakfast Add Ons and Sides Cafe Latte with Mango Flavor Banana Slices Breakfast Add Ons and Sides Malted Waffles with Turkey Sausage Buttermilk Griddlecakes with Whipped Margarine Iced Cappuccino with Vanilla Kids Mashed Potatoes Iced Tea Kids Noodles with Marinara with Caesar Salad Steak and Eggs with French Fries Kids Grilled Chicken with House Salad Kids Kraft Mac and Cheese Mocha Latte with Milk Choice Whole Milk
Cafe Zupas,White Steak Cheese Sandwiches Large Strawberry Champagne Vinaigrette Chocolate Mousse Cake Grapes Salad Toppings Large Mixed Greens Wheat Pesto Chicken Sandwiches Onion Crisps Soup MixIns White BBQ Pulled Pork Sandwiches Eggs Salad Toppings Large Poppyseed Dressing Tricolor Peppers Salad Toppings Kalamata Olives Salad Toppings Half Thai Peanut Sauce Fresh Baguette Bread Wheat Chipotle Steak Club Sandwiches Wheat Cuban Pork Sandwiches Edamame Salad Toppings Honest Tea Pomegranate Blue Barqs Root Beer Half Avocado Herb Dressing Kids SoupLobster Bisque Wheat Honey Bacon Club Sandwiches Kids SoupMushroom Bisque Diet Coke Egg Noodles Salad Toppings Strawberries And Cream Creme Brulee White Honey Bacon Club Sandwiches Crispy Marshmallow Bar Coke Avocado Salad Toppings White Crab Avocado Melt Sandwiches Black Olives Salad Toppings Half Honey Cilantro Glaze
American Flatbread Grocery,Sliced Tomato 5 Cheese Thin Crispy Pizza Pesto Cheese Thin Crispy Pizza Tomato Sauce Three Cheese Pizza Ionian Awakening Pizza Tomato Sauce Three Cheese Mushrooms Cheeses Caramelized Onions with Homemade Tomato Sauce Revolution Flatbread Cheese Trio Tomato Sauce Flatbread Cheese Herb Flatbread Pizza Basil Pesto Feta Fresh Basil Pesto Feta Cheese and Herb Pizza Sliced 5 Cheese Vegan Harvest SunDried Tomatoes and Mushrooms Pizza Tomato Sauce Three Cheese Thin Crispy Pizza Twisted 6 Cheese Flatbread Pizza
Fratelli Mantova,No 5 Spaghetti Organic Italian Pasta Genovese Pesto Organic Italian Pasta Organic Pesto all Genovese with Basil No 10 Penne Rigate Organic Italian Pasta Organic Red Pesto with Sundried Tomato Linguine No 98 Organic Italian Pasta
Rayley's,Homestyle Meatloaf
Whitey's Ice Cream,Strawberry Ice Cream Cup O Joe Espresso Moose Tracks Ice Cream Mint Chocolate Chip Ice Cream Vanilla Ice Cream Graham Central Station Harvest Chipper Ice Cream Chocolate Malt Ice Cream Chocolate Chip Cookie Dough White Tiger Paws Ice Cream Chocolate Chip Ice Cream Chocolate Ice Cream Cotton Candy Ice Cream White Chicken Chili with Beans Chili with Beans Mississipi Mud French Vanilla Ice Cream Cookies N Cream Shake Ice Cream Chocolate Chip Cookie Dough Ice Cream Swiss Almond Chocolate Ice Cream
Quinn's,Classic Salsa
Pretzelmaker,Large Cinnamon Sugar Pretzel Bites Pretzel Dog Small Salted Pretzel Bites Unsalted Pretzel Small Strawberry Lemonade Large Raspberry Lemonade Small Diet Coke Large Salted Pretzel Bites Large Strawberry Lemonade Pepperoni Pretzel Roll Regular Diet Coke Nacho Cheese Regular Raspberry Lemonade Caramel Sauce Ketchup Small Unsalted Pretzel Bites Regular Cinnamon Sugar Pretzel Bites Regular Lemonade Pizza Sauce Large Limeade Regular Salted Pretzel Bites Regular Strawberry Lemonade Large Cherry Limeade Cream Cheese Jalapeno Mini Pretzel Dog Small Limeade Jalapeno Pretzel Dog Everything Pretzel Cinnamon Sugar Pretzel Regular Cherry Limeade Large Coke Regular Unsalted Pretzel Bites Honey Mustard Small Coke Mocha Mania Pretzel Mini Pretzel Dog Regular Coke
Our Family,Vanilla Instant Pudding and Pie Filling Blueberry Pie Filling Cherry Pie Filling Sliced Jalapenos Colby Monterey Jack Fancy Shredded Cheese Graham Cracker Pie Crust PreSifted Bleached Self Rising Flour Fudge Sandwich Creme Cookies Hot Thick Chunky Salsa Chunks Pineapple Blueberry Light Nonfat Yogurt Bran Cereal Chicken Gravy Crispy Rice Cereal Peas Carrots High Fiber Bran Flakes Cereal Mexican Blend Fancy Shredded Cheese Italian Fat Free Dressing Mixed Vegetables Beef Gravy Longhorn Style Colby Cheese Nutty Nuggets Cereal Lemon Sandwich Creme Cookies Duplex Sandwich Creme Cookies Buttermilk Waffles Green Peas Mozzarella Cheese with Strawberries Cream Cheese Spread 100 Vegetable Juice Triple Cherry Mixed Fruit Banana Pudding and Pie Filling Sliced in Heavy Syrup Yellow Cling Peaches Cocoa Crispy Rice Cereal Iced Oatmeal Old Fashioned Cookies Raisin Bran Cereal Shredded Coconut Crinkle Cut Carrots Milk Chocolate Chips Raspberry Light Nonfat Yogurt Ranch Light Dressing Hearth Baked Texas Garlic Toast Cotto Salami Sharp Cheddar Cheese Cordon Bleu Colby Monterey Jack Sliced Cheese
Tasti D-Lite,3 oz Gallon Recipe Pecan Praline Vanilla Soft Serve 3 oz Gallon Recipe Black Forest Cake Chocolate Soft Serve 10 oz Gallon Recipe Caramel Fudge Chocolate Soft Serve 3 oz Gallon Recipe Coffee n Cream Vanilla Soft Serve 10 oz Custom Blend Chocolate Mousse Chocolate Soft Serve 10 oz Gallon Recipe Greek Frozen Yogurt Vanilla Soft Serve 3 oz Gallon Recipe Banana Greek Frozen Yogurt Vanilla Soft Serve 10 oz Gallon Recipe Pomegranate Vanilla Soft Serve 3 oz Custom Blend Triple Berry Vanilla Soft Serve 3 oz Gallon Recipe Devils Food Cake Chocolate Soft Serve 10 oz Custom Blend Peanut Butter Batter Chocolate Soft Serve 1 oz Gallon Recipe Honey Nut Os Vanilla Soft Serve 5 oz Custom Blend Vanilla Malt Vanilla Soft Serve 10 oz Gallon Recipe Vanilla Malt Vanilla Soft Serve Sweetened Coconut Flakes Topping 5 oz Gallon Recipe Mango Greek Frozen Yogurt Vanilla Soft Serve 10 oz Gallon Recipe Oreos n Cream Vanilla Soft Serve 10 oz Gallon Recipe Creme Brulee Vanilla Soft Serve 5 oz Gallon Recipe Buttercrunch Mania Vanilla Soft Serve 5 oz Gallon Recipe Tapioca Pudding Vanilla Soft Serve 5 oz Custom Blend Acai Tart n Tasti Vanilla Soft Serve 5 oz Custom Blend Dulce de Leche Vanilla Soft Serve 5 oz Custom Blend Tapioca Pudding Vanilla Soft Serve 5 oz Gallon Recipe Cherry Cake Vanilla Soft Serve Whipped Topping Topping 10 oz Gallon Recipe Angel Food Cake Vanilla Soft Serve 5 oz Custom Blend Peachy Keen Vanilla Soft Serve 1 oz Gallon Recipe Toffee Crunch Chocolate Soft Serve 1 oz Gallon Recipe Double Dutch Chocolate Chocolate Soft Serve 1 oz Gallon Recipe Chocolate Covered Strawberry Chocolate Soft Serve 5 oz Gallon Recipe Red Velvet Cake Chocolate Soft Serve 24 oz Mocha Shake 10 oz Custom Blend Chocolate Covered Strawberry Chocolate Soft Serve 5 oz Gallon Recipe Peanut Butter n Jelly Vanilla Soft Serve 10 oz Custom Blend Acai Vanilla Soft Serve 5 oz Gallon Recipe Greek Frozen Yogurt Vanilla Soft Serve 10 oz Gallon Recipe Acai Greek Frozen Yogurt Vanilla Soft Serve 10 oz Custom Blend Peanut Butter Cup Chocolate Soft Serve 10 oz Gallon Recipe Creamy Cocoa Chocolate Soft Serve 5 oz Gallon Recipe Coffee n Cream Vanilla Soft Serve 1 oz Gallon Recipe Bananas Foster Vanilla Soft Serve 10 oz Gallon Recipe Banana n Peanut Butter Vanilla Soft Serve
Blizz Frozen Yogurt,Pecan Praline Frozen Yogurt Chocolate Frozen Yogurt Strawberry Frozen Yogurt Cookies and Cream Frozen Yogurt Peach Frozen Yogurt
Del Monte,Pure Earth Pineapple Lime Juice Fruit Cocktail in Extra Light Syrup Citrus Salad Lite Freestone Slices Golden Sweet Whole Kernel Corn Blueberry Flavor Fruit Burst Sliced Beets Diced Mangos in Light Syrup Sliced Pineapple In Juice Green Lima Beans Mango Pineapple in Light Syrup Fruit Burst 50 Calorie Diced Peaches Peach Chunks Mixed Berry Flavor Fruit Burst Squeezers 100 Juice California Sliced Peaches Fruit Cup Grapes Cherries in Cherry Flavored Light Syrup pears Peaches Very Cherry Northwest Pear Halves Pineapple Chunks In Juice Cream Style Fresh Cut Golden Sweet Corn Sliced Peaches Leaf Spinach Organic Tomato Paste Low Sodium Sweet Peas Pineapple Tidbits Pamplemousse Rouge Red Grapefruit Mandarin Oranges Apricot Halves
White Mountain,Kettle Corn Organic Bulgarian Yogurt NonFat Bulgarian Yogurt Whole Milk Bulgarian Yogurt Bulgarian Yogurt Organic Bulgarian Yogurt Dinner Rolls Probiotic Bulgarian Yogurt
Portillo's,Small Diet Coke Tuna Salad Bowl Strawberry Smoothie Tuscan Chicken And Bacon Salad Onion Rings Oven Baked Spaghetti with Meat Sauce Large Diet Coke Mostaccioli With Marinara Sauce Breaded Chicken Club Stuffed Green Pepper Soup Hot Chocolate Lemon Cake Slice of American Cheese Tuna Salad Croissant Flounder Lunch Mostaccioli Peasant Pasta Combo Sandwich Chocolate Eclair Cake Tuna Salad Sandwich Pomegranate Berry Smoothie Broccoli Cheddar Soup Chicken Siciliano Side of Gravy Lite Ranch Dressing Chicken Parmesan With Meat Sauce CharGrilled Italian Sausage With Marinara Sauce Oven Baked Spaghetti Garbage Salad With Meat Sauce Lunch Spaghetti Dinner Mostaccioli Combo Beef And CharGrilled Sausage Sandwich Small Vanilla Shake Garbage Vinaigrette Barnellis CharBroiled Chicken No Dressing Tuscan Chicken And Bacon Salad With Meat Sauce Dinner Mostaccioli
Koyo,Garlic Pepper Ramen Noodles Brown Rice Cakes Organic Coconut Milk Salted Rice Cake No Salt Organic Rice Crackers Reduced Sodium Asian Vegetable Ramen Unsalted Buckwheat Sarrasin Natural Rice Cakes Reduced Sodium Tofu Miso Ramen Noodles Shiro Miso Asian Pasta Organic Soba Mixed Grain Rice Cakes Mushroom Ramen Noodles Black Sesame Tamari Organic Rice Crackers Sea Salt Organic Rice Crackers No Salt Organic Plain Rice Cakes Organic Ramen Noodles Organic Udon Asian Pasta Organic Wide Udon Tofu Miso Ramen Lightly Salted Organic Millet Rice Cakes Organic Round Udon Asian Pasta Asian Fusion Tamari Organic Rice Crackers Seaweed Ramen Lemongrass Ginger Ramen Organic Noodles Organic Fine Udon Asian Pasta
The Pickle Barrel,Morrocan Cigars Bagel with Chopped Egg Salad Classic Burger Spaghetti Giant Meatballs Maple Nut Salmon Bbq Chicken Breast Burger Lobster Grilled Cheese Half Pound Steak Fajitas Freddys Tuna Salad HouseMade Mashed Potatoes Hoisin Lettuce Wraps PB Original Jumbo Club House Sandwich Super Sesame Shrimp Bowl Chicken Milanese New York Striploin Steak Eggs Brownie GaGaGalore English Style Fish Chips Harvest Bowl Bowl Bombay Butter Chicken Bowl Add Surfs Up to Steak Half Rack BBQ Pork Back Spareribs Seinfelds Julienne Salad Low Slow Hot Alberta Beef Sandwich Rose Reismans Warm Chicken Spinach Salad Rose ReismanS Grilled Chicken Hummus Wrap Baja Fish Taco Double Monty Sandwich Crispy Calamari Mendy SharfS Veggie Soya Burger Sweet Potato Fries
Regal Springs,Tilapia Fillets Tilapia Tilapia Fillets
